gene	gains	losses
group_8151	8.44	1.82
group_5819	8.44	1.82
group_12471	8.44	1.82
group_5821	8.44	1.82
topB_3	8.44	1.82
group_11693	8.44	1.82
group_12464	8.44	1.82
group_8140	8.44	1.82
group_5829	8.44	1.82
group_11689	8.44	1.82
group_12460	8.44	1.82
group_8136	8.44	1.82
group_12458	8.44	1.82
group_12457	8.44	1.82
group_4684*	8.44	1.82
group_12455	8.44	1.82
group_8131	8.44	1.82
group_10350	8.44	1.82
group_12452	8.44	1.82
group_11679	8.44	1.82
group_2428	8.44	1.82
group_5805	8.77	1.62
group_5741	8.44	1.82
tus_2	8.44	1.82
group_5743	8.44	1.82
group_7496	8.44	1.82
group_12376	8.44	1.82
group_11828	8.44	1.82
group_4605	8.44	1.82
group_2519	8.44	1.82
group_8059	8.44	1.82
group_2521	8.44	1.82
group_7505	8.44	1.82
group_7506	8.44	1.82
group_7507	8.44	1.82
group_7508	8.44	1.82
group_11818	8.44	1.82
group_11817	8.44	1.82
group_11816	8.44	1.82
group_4619	8.44	1.82
group_11758*	8.44	1.82
group_11812	8.44	1.82
group_7516	8.44	1.82
group_8044	8.44	1.82
group_2536	8.44	1.82
group_10443	8.44	1.82
group_5765	8.44	1.82
group_5766	8.44	1.82
group_2540	8.44	1.82
group_7524	8.44	1.82
group_10449	8.44	1.82
group_4632	8.44	1.82
hupB_2	8.44	1.82
group_10456*	8.44	1.82
group_12340	8.44	1.82
higB2	8.44	1.82
group_10459	8.44	1.82
group_4642	8.44	1.82
group_7537	8.44	1.82
group_7538	8.44	1.82
group_8022	8.44	1.82
group_12333	8.44	1.82
group_8020	8.44	1.82
group_3842*	8.29	0.96
group_5059	8.11	1.85
group_3485	6.54	1.38
group_7968	9	14.5
group_5647	7.82	1.51
group_3066	6.39	1.12
group_7420	6.74	4.47
group_3360	6.61	1.85
group_3008	7.63	4.8
group_8897	7.34	0.67
group_5945	6.64	2.6
group_8963	6.39	1.12
group_3662*	7.53	6.97
group_2936	7.65	2.59
group_6193	1.22	3.94
group_3362	6.03	15.51
group_7930	6.13	1.82
group_7189	8.63	0.79
group_3656	8.07	6.63
group_1942	7	16.5
group_2010	7.24	3.74
group_7093*	8.57	1.79
group_2639*	8.02	2.75
group_9882	8.39	2.3
group_4422	8.06	2.08
group_6267	8.06	2.08
group_10856*	7.59	2.77
group_4389	7.59	2.77
group_3588*	6.49	0.96
virB6	8.06	2.08
group_1445	9.01	6.25
group_3066*	8.93	3.39
group_3827	8.12	2.58
group_9229	8.12	2.58
group_8193	6.92	1.55
group_3138	6.92	1.55
group_9966	6.92	1.55
group_5063	5.32	3.36
group_7931	8.72	1.77
group_9006	7.33	1.65
group_6542	7	1.19
group_2358	6.77	1.75
group_2749	8.29	2.22
group_8950	8.29	2.22
group_8949	8.29	2.22
virB9	8.29	2.22
group_6101	8.29	2.22
group_4066	8.29	2.22
group_5069	8.29	2.22
group_11645	8.29	2.22
group_3224	8.29	2.22
group_3223	8.29	2.22
group_6230	8.76	1.44
group_3253	8.75	1.56
group_5819*	8.84	1.31
group_7004	8.23	1.89
group_6471*	6.86	2.56
group_4768	8.7	1.65
group_5024	9.14	13.99
group_3836	8.74	1.43
group_4942	8	3.09
group_7191	8.49	2.75
group_4593	8.49	2.75
group_8731	8.49	2.75
group_1933	8.49	2.75
traI_2	8.49	2.75
group_1936	8.49	2.75
group_11472	8.49	2.75
group_11473	8.49	2.75
group_7200**	8.49	2.75
group_7041	8.49	2.75
group_11476	8.49	2.75
group_9734	8.49	2.75
group_4581	8.49	2.75
group_9768	8.49	2.75
group_3957	8.49	2.75
repA_2	8.49	2.75
group_3464*	8.49	2.75
group_7019	8.49	2.75
group_7020	8.49	2.75
group_3460	8.49	2.75
group_8654	8.49	2.75
group_11525	8.49	2.75
group_3944	8.49	2.75
group_7027	8.49	2.75
group_7267	8.49	2.75
group_9748	8.49	2.75
group_10812	7.77	1.92
group_4455	7.31	1.76
group_8844	7.34	2.5
group_2018	7.34	2.5
group_4060	8.66	1.1
group_3880	7.27	1.84
group_6616	8.11	2.32
group_7668	7.26	0.86
group_8733	8.82	1.5
group_8734	8.82	1.5
group_5683	8.82	1.5
group_2263	5.92	0.85
group_2575	7.94	2.96
group_8917	7.83	0.94
group_8042	6.74	14.82
group_1242*	7.5	16
group_7592	7.06	14.2
group_3519	12	11.5
group_3252	7.9	1.22
group_8172	12	11.5
group_8193*	12	11.5
group_3273	7	16.5
group_2381	7.04	2.19
group_2143*	8.94	7.76
group_7267*	7.8	1.06
group_3010	12.2	11.14
group_3308	11.7	11.64
group_3385	6.98	0.51
group_609	10.48	12.6
group_2048	9.63	13.19
group_4405	12.63	10.19
group_2666	9.57	13.67
group_6594*	5.62	15.06
group_1526	6.16	15.84
group_9933	9.03	4.07
group_4531	6.62	14.37
group_2023	6.62	14.37
group_9963	6.16	15.84
group_2889	6.16	15.84
repE	6.12	14.87
group_6551	5.57	16.26
dut_2	6.62	14.37
ymoA*	8.5	15
group_2666*	9.28	3.49
group_6941	6	0.55
group_5386*	6.98	0.48
group_3216*	7.36	0.88
group_10005	6.91	2.21
group_10030	7.87	1.2
group_6193*	4.16	1.67
catM_2	7.65	1.89
