id	name	class	increase	decrease	core_to_inter	core_to_rare	core_to_absent	inter_to_core	inter_to_rare	inter_to_absent	rare_to_core	rare_to_inter	rare_to_absent	absent_to_rare	absent_to_inter	absent_to_core
54	54	Intermediate and rare	37.3300000000001	29.3100000000002	3	0	0	15	86	1	0	51	369	99	0	0
55	55	Intermediate and rare	90.2200000000006	13.19	13	0	0	13	3	0	0	111	12	538	0	0
56	56	Intermediate and rare	28.28	16.51	0	0	0	33	16	0	0	30	115	146	0	0
57	57	Intermediate and rare	498.450000000001	45.8799999999999	6	0	0	242	79	2	253	110	233	509	21	18
58	58	Intermediate and rare	7.23	33.4699999999999	1	0	0	13	59	5	0	13	273	37	0	0
59	59	Intermediate and rare	47.0099999999994	2.33	5	0	0	0	2	0	0	79	2	866	1	0
60	60	Intermediate and rare	357.63	64.0099999999995	29	0	0	170	81	17	140	339	712	521	0	2
61	61	Intermediate and rare	3.09	18.6400000000001	2	0	0	4	27	0	0	4	163	34	0	0
62	62	Intermediate and rare	7.36999999999999	12.77	17	0	0	1	24	0	1	6	54	75	0	0
63	63	Intermediate and rare	7.60999999999999	15.39	7	0	0	4	26	0	0	5	122	87	0	0
64	64	Intermediate and rare	21.8700000000001	22.7700000000001	34	0	0	1	16	0	0	18	36	375	0	1
65	65	Intermediate and rare	29.7800000000001	3.93999999999999	6	0	0	10	2	0	0	18	17	459	0	0
66	66	Intermediate and rare	268.169999999999	20.2100000000001	20	1	0	19	14	0	3	305	93	539	0	0
67	67	Intermediate and rare	34.65	6.65000000000001	21	0	0	2	12	0	0	33	5	862	2	0
68	68	Intermediate and rare	70.6600000000004	18.56	13	0	0	0	12	0	0	118	22	426	0	0
69	69	Intermediate and rare	68.1999999999999	26.18	0	0	0	6	56	0	0	132	76	237	0	0
70	70	Intermediate and rare	177.53	163.420000000001	2	0	0	64	172	153	4	124	579	210	0	0
71	71	Intermediate and rare	126.46	38.7399999999999	1	0	0	192	98	14	14	18	138	417	0	0
72	72	Intermediate and rare	155.950000000001	17.97	9	0	0	0	52	0	0	280	8	336	0	0
73	73	Intermediate and rare	289.670000000001	133.210000000001	14	0	0	185	64	172	57	411	973	219	0	0
74	74	Intermediate and rare	90.3800000000002	30.5300000000001	1	0	0	7	39	0	0	140	215	253	0	0
75	75	Intermediate and rare	175.210000000001	191.2	3	0	0	218	174	256	18	168	1040	68	0	0
76	76	Intermediate and rare	128.11	36.9500000000001	1	0	0	24	110	0	1	134	359	171	0	0
77	77	Intermediate and rare	20.66	98.4899999999994	24	0	0	9	185	0	0	40	154	50	0	0
78	78	Intermediate and rare	34.2200000000001	15.4999999999999	3	0	0	9	12	0	0	29	116	56	0	0
79	79	Intermediate and rare	124.030000000001	110.15	6	0	0	37	252	4	2	140	686	142	0	0
80	80	Intermediate and rare	50.3899999999999	48.5	0	0	0	20	105	0	0	56	437	51	0	0
81	81	Intermediate and rare	126.16	15.8299999999999	0	0	0	135	23	4	4	63	249	58	0	0
82	82	Intermediate and rare	43.6099999999998	12.24	8	0	0	58	9	0	0	57	22	269	25	0
83	83	Intermediate and rare	56.6500000000003	40.4199999999999	57	0	0	23	45	0	1	57	195	369	0	0
84	84	Intermediate and rare	30.67	2.86	0	0	0	13	7	0	0	40	25	122	0	0
85	85	Intermediate and rare	16.97	21.3799999999999	28	0	0	6	18	0	0	26	57	106	0	1
86	86	Intermediate and rare	17.2600000000001	80.5699999999999	52	0	0	1	45	0	0	18	44	307	1	0
87	87	Intermediate and rare	174.360000000001	20.53	14	0	0	84	35	0	0	138	19	759	11	0
88	88	Intermediate and rare	235.08	5.36999999999999	18	0	0	103	3	0	0	166	11	692	54	0
89	89	Intermediate and rare	108.26	67.3200000000003	4	0	0	29	88	0	1	131	229	143	0	0
90	90	Intermediate and rare	298.529999999998	60.83	6	0	0	306	89	1	87	148	253	266	0	0
91	91	Intermediate and rare	58.59	41.2599999999999	1	0	0	19	96	0	0	67	303	105	0	0
92	92	Intermediate and rare	74.7399999999998	40.27	4	0	0	2	49	0	0	86	55	112	0	0
93	93	Intermediate and rare	185.450000000001	270.929999999999	6	0	0	276	187	379	17	113	1128	66	0	0
1	22	Multi-cluster rare	806.130000000006	136.65	0	0	0	263	0	247	698	0	524	0	0	0
2	39	Multi-cluster rare	311.29	221.809999999999	0	0	1	110	0	400	272	0	950	0	0	0
3	14	Multi-cluster rare	873.020000000004	139.86	0	0	0	315	0	267	759	0	897	0	0	0
4	6	Multi-cluster rare	1007.96	167.800000000001	0	0	0	297	0	285	884	0	772	0	0	0
5	5	Multi-cluster rare	2101.45000000002	37.5000000000001	0	0	0	890	0	60	1626	0	242	0	0	0
6	48	Multi-cluster rare	234.26	418.309999999994	0	0	0	48	0	902	220	0	1648	0	0	0
7	15	Multi-cluster rare	927.870000000005	82.1200000000005	0	0	0	434	0	148	548	0	527	0	0	162
8	26	Multi-cluster rare	652.660000000001	141.24	0	0	1	198	0	277	138	0	108	0	0	418
