22	39	14	6	5	48	15	26	32	42	24	36	8	34	9	40	30	45	12	28	35	23	10	16	1	46	37	7	19	51	17	41	11	25	18	4	29	3	13	27	47	2	20	44	33	38	31
group_5501	0	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1
group_4783	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	0	0	1	0
group_4456	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	0	0	0	1	0	1	1	1
group_6055	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	1	1
group_2859	0	0	0	1	1	1	0	1	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	1	1	0	0	1	1	0	1	0	0
group_3832	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0
group_4223	0	0	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0
group_2401	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1
group_1236	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0
group_3245	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0
group_10563	0	0	0	1	1	1	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0
group_3464	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0
group_4164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	1	1	1
group_1242	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	1	0
group_2767	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1
group_9189	1	0	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0
