gene	gains	losses
group_5063	4	3
group_7931	8	1
group_9006	7	1
group_6542	6	1
group_2358	7	0
group_2749	8	1
group_8950	8	1
group_8949	8	1
virB9	8	1
group_6101	8	1
group_4066	8	1
group_5069	8	1
group_11645	8	1
group_3224	8	1
group_3223	8	1
group_6230	9	0
group_3253	9	0
group_5819*	9	0
group_7004	4	5
group_6471*	7	1
group_4768	8	1
group_5024	7	7
group_3836	8	1
group_4942	9	0
group_7191	8	1
group_4593	8	1
group_8731	8	1
group_1933	8	1
traI_2	8	1
group_1936	8	1
group_11472	8	1
group_11473	8	1
group_7200**	8	1
group_7041	8	1
group_11476	8	1
group_9734	8	1
group_4581	8	1
group_9768	8	1
group_3957	8	1
repA_2	8	1
group_3464*	8	1
group_7019	8	1
group_7020	8	1
group_3460	8	1
group_8654	8	1
group_11525	8	1
group_3944	8	1
group_7027	8	1
group_7267	8	1
group_9748	8	1
group_10812	8	0
group_4455	7	1
group_8844	7	1
group_2018	7	1
group_4060	8	1
group_3880	5	3
group_6616	8	1
group_7668	7	0
group_8733	9	0
group_8734	9	0
group_5683	9	0
group_2263	6	0
group_2575	8	1
group_8917	7	1
group_8042	7	3
group_1242*	13	0
group_7592	8	3
group_3519	2	16
group_3252	8	0
group_8172	2	16
group_8193*	2	16
group_3273	12	1
group_2381	7	1
group_2143*	3	9
group_7267*	7	1
group_3010	8	10
group_3308	9	8
group_3385	7	0
group_609	9	5
group_2048	5	8
group_4405	5	9
group_2666	11	3
group_6594*	10	0
group_1526	11	0
group_9933	10	0
group_4531	12	0
group_2023	12	0
group_9963	12	0
group_2889	11	0
repE	11	0
group_6551	11	0
dut_2	12	0
ymoA*	9	7
group_2666*	10	0
group_6941	6	0
group_5386*	7	0
group_3216*	7	0
group_10005	7	1
group_10030	8	0
group_6193*	3	2
catM_2	8	0
rdgC_2*	7	0
group_1862	10	4
group_6390	6	0
group_3664	12	2
group_12651	7	1
group_4402*	6	1
group_4242	1	3
group_3656*	6	1
group_2170	11	1
dsbC_1	8	0
traC_3	8	0
group_7427	8	0
group_4695*	8	0
group_8121	8	0
pdeG_2	8	0
group_4698	8	0
group_12441	8	0
group_8117	8	0
group_10337	8	0
group_2446	8	0
group_7436*	8	0
cobS_1	8	0
group_7438*	8	0
group_11717	8	0
group_11661	8	0
group_4708	8	0
group_11714	8	0
group_12419	8	0
group_7444	8	0
group_11711	8	0
group_2459	8	0
group_11709*	8	0
ycbX_2	8	0
group_7449	8	0
group_2463	8	0
group_12411	8	0
group_8098	8	0
group_12409	8	0
group_11647	8	0
group_4722	8	0
yfbR_1	8	0
group_11693*	8	0
group_7464	8	0
group_11636	8	0
group_7466	8	0
group_11689*	8	0
group_7468	8	0
group_11632	8	0
group_8080	8	0
group_12390	7	1
group_5734	7	1
group_12385	7	1
group_11838	7	1
group_10414	7	1
